Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,1986,5,F,17,212,121,21,213.2
SB,1985,4,F,16,218,117,21,204.1
SB,1992,11,M,21,260,160.5,26.6,394.6
SB,1984,3,F,13,226,118,21,215.5
SB,1991,10,F,22,218.5,119.4,21.9,206.4
SB,1992,11,F,23,231,109.4,21.7,158.8
SB,1984,3,F,11,224,127,21,240.4
SB,1986,5,M,16,241,147,25,385.6
SB,1986,5,F,23,216,107,20,172.4
SB,1985,4,F,22,209,113,20,170.1
SB,1984,3,F,11,212,115,20,181.4
SB,1998,17,F,28,229.5,119.7,20.7,200.9
SB,1991,10,F,21,228,122.1,21.7,217.7
SB,1992,11,F,22,225,116.5,20.7,186
SB,1985,4,F,15,221,114,21,188.2
SB,1984,3,F,10,220,120,21,181.4
SB,1983,2,F,20,241,133,22,254
SB,1992,11,F,18,236,115.8,21.8,207.3
SB,1983,2,M,14,278,173,28,462.7
SB,1986,5,M,17,259,174,28,499
SB,1985,4,F,19,227,134,22,231.3
SB,1985,4,M,8,253,165,28,430.9
SB,1986,5,M,9,257,146,27,426.4
SB,1998,17,F,20,216,109.2,21.3,182.3
SB,1983,2,F,11,234,131,19,235.9
SB,1986,5,F,14,232,122,20,240.4
SB,1985,4,F,13,207,111,20,195
SB,1983,2,F,3,211,112,18,170.1
SB,1983,2,F,2,201,106,17,138.3
SB,1983,2,M,0,145,86,15,73.5
SB,1983,2,F,4,219,147,20,281.2
SB,1983,2,M,2,190,151,20,317.5
SB,1983,2,M,5,250,147,22,308.4
SB,1983,2,F,2,193,117,18,176.9
SB,1983,2,M,8,265,187,27,499
SB,1983,2,M,3,240,138,21,276.7
SB,1983,2,M,3,185,126,20,215.5
SB,1983,2,F,2,213,126,19,208.7
SB,1983,2,F,4,220,153,20,281.2
SB,1983,2,F,3,212,122,18,213.2
SB,1983,2,F,2,207,124,19,195
SB,1983,2,M,10,273,178,27,476.3
SB,1983,2,M,3,219,136,20,244.9
SB,1983,2,M,2,209,141,19,244.9
SB,1983,2,F,8,217,127,20,181.4
SB,1983,2,F,2,196,111,18,156.5
SB,1983,2,F,6,219,126,20,156.5
SB,1983,2,M,9,229,142,25,303.9
SB,1983,2,F,7,231,132,20,222.3
SB,1983,2,F,1,172,99,15,81.6
SB,1983,2,F,4,216,112,19,187.8
SB,1992,11,F,13,224,108.4,20.8,176.9
SB,1983,2,F,4,217,123,19,176.9
SB,1983,2,M,4,246,133,21,326.6
SB,1983,2,M,11,257,144,26,353.8
SB,1983,2,F,17,221,132,21,222.3
SB,1983,2,M,1,210,106,17,131.5
SB,1983,2,F,4,222,133,20,231.3
CS,1996,15,M,17,278,178.2,29,509.1
SB,1986,5,M,7,259,136,25,362.9
SB,1985,4,F,13,214,123,20,190.5
SB,1992,11,F,11,236,114.5,22.2,194.1
SB,1985,4,F,20,212,115,21,181.4
SB,1983,2,F,12,226,108,20,145.1
SB,1984,3,F,13,232,128,21,181.4
SB,1985,4,F,14,221,138,21,249.5
SB,1992,11,F,21,225.5,114,22.6,179.2
SB,2001,20,F,22,223,106,21.8,167.8
SB,1984,3,F,3,206,116,16,167.8
SB,1985,4,M,20,254,151,26,313.9
SB,1992,11,F,13,227.5,113,21,174.6
SB,1991,10,F,10,218.5,117.1,20.7,168.7
SB,1985,4,F,8,217,104,19,157.4
SB,1984,3,F,7,225,116,20,176.9
SB,1986,5,F,12,216,104,20,158.8
SB,1983,2,F,9,216,115,22,167.8
SB,1983,2,M,1,189,99,16,113.4
SB,1984,3,M,2,219,114,19,172.4
SB,1985,4,M,3,222,112,20,183.7
SB,1983,2,M,1,182,95,16,102.1
SB,1984,3,M,2,215,114,19,167.8
SB,1983,2,F,8,212,110,19,176.9
SB,1998,17,F,23,218,108,19.8,161
SB,1991,10,F,16,219,106.8,19.3,156.5
SB,1985,4,M,16,263,151,26,449.1
SB,1985,4,M,7,252,156,23,424.1
SB,1994,13,M,13,268,168,27.1,489.9
SB,1984,3,F,6,223,118,21,167.8
SB,1983,2,F,5,230,127,20,204.1
SB,1983,2,M,5,262,155,25,353.8
SB,1986,5,F,12,225,101,21,165.6
SB,1999,18,F,18,216.9,132.7,21.3,215.5
SB,1985,4,F,4,193,107,19,127
SB,1991,10,F,10,218,100,19.3,138.3
SB,1992,11,F,11,215,106.9,19.8,171.5
SB,1983,2,F,2,198,101,17,136.1
SB,1983,2,F,0,151.2,88.3,14.6,79.4
SB,1983,2,M,0,167,92.7,15.3,97.5
SB,1983,2,M,1,200,117,18,140.6
SB,1983,2,M,4,223,151,22,335.7
SB,1984,3,M,5,237,129,24,249.5
SB,1983,2,M,1,175,107,15,113.4
SB,1983,2,M,1,205,119,18,195
SB,1983,2,F,0,145,91,15,86.2
SB,1983,2,F,4,206,127,18,199.6
SB,1983,2,F,2,193,101,18,136.1
SB,1983,2,F,3,230,141,21,231.3
SB,1983,2,F,3,210,104,17,129.3
SB,1983,2,F,1,195,112,17,147.4
SB,1983,2,F,2,208,124,17,199.6
SB,1983,2,M,1,200,117,18,186
SB,1983,2,F,1,187,110,17,149.7
SB,1983,2,M,3,244,158,22,331.1
SB,1984,3,F,13,221,132,22,240.4
SB,1984,3,M,14,250,144,24,294.8
SB,1984,3,F,7,212,115,21,195
SB,1984,3,M,1,161,87,15,74.8
SB,1984,3,F,1,156,74,15,54.4
SB,1984,3,F,6,220,109,19,158.8
SB,1984,3,M,10,275,156,26,394.6
SB,1984,3,F,4,216,118,19,167.8
SB,1984,3,F,5,230,129,20,213.2
SB,1983,2,F,2,210,138,18,231.3
SB,1984,3,F,9,210,130,20,195
SB,1984,3,F,19,222,118,21,190.5
SB,1984,3,M,1,172,96,16,95.3
SB,1984,3,F,1,160,82,15,72.6
SB,1984,3,F,1,161,86,14,59
SB,1984,3,M,4,259,149,24,326.6
SB,1984,3,F,1,171,93,16,95.3
SB,1984,3,F,9,224,116,20,195
SB,1984,3,M,2,198,97,18,136.1
SB,2002,21,F,20,230,109,20.8,192.8
SB,2007,26,F,25,223,117,20.8,188.2
SB,1984,3,F,2,202,106,17,167.8
SB,1984,3,F,10,224,123,21,208.7
SB,1984,3,F,2,196,116,19,156.5
SB,1984,3,F,12,232,112,21,190.5
SB,1984,3,F,2,213,110,18,149.7
SB,1985,4,M,1,137,88,15,75.7
SB,1984,3,M,3,227,119,20,186
SB,1985,4,M,4,234,130,21,289.4
SB,1992,11,M,11,259,152,26.5,417.3
